date,price_usd,price_eur,volume_24h,market_cap
2024-11-18,90542.64000000,,75535775084.00,
2024-11-17,89845.85000000,,46350159305.00,
2024-11-16,90558.48000000,,44333192814.00,
2024-11-15,91066.01000000,,78243109518.00,
2024-11-14,87250.43000000,,87616705248.00,
2024-11-13,90584.16000000,,123559027869.00,
2024-11-12,87955.81000000,,133673285375.00,
2024-11-11,88701.48000000,,117966845037.00,
2024-11-10,80474.19000000,,82570594495.00,
2024-11-09,76778.87000000,,29009480361.00,
2024-11-08,76545.48000000,,55176858003.00,
2024-11-07,75904.86000000,,63467654989.00,
2024-11-06,75639.08000000,,118592653963.00,
2024-11-05,69359.56000000,,46046889204.00,
2024-11-04,67811.51000000,,41184819348.00,
2024-11-03,68741.12000000,,34868307655.00,
2024-11-02,69289.27000000,,18184612091.00,
2024-11-01,69482.47000000,,49989795365.00,
2024-10-31,70215.19000000,,40627912076.00,
2024-10-30,72339.54000000,,40646637831.00,
2024-10-29,72720.49000000,,58541874402.00,
2024-10-28,69907.76000000,,38799856657.00,
2024-10-27,67929.30000000,,16721307878.00,
2024-10-26,67014.70000000,,19588098156.00,
2024-10-25,66642.41000000,,41469984306.00,
2024-10-24,68161.05000000,,31414428647.00,
2024-10-23,66432.20000000,,32263980353.00,
2024-10-22,67361.41000000,,31808472566.00,
2024-10-21,67367.85000000,,37498611780.00,
2024-10-20,69001.70000000,,18975847518.00,
2024-10-19,68362.73000000,,14443497908.00,
2024-10-18,68418.79000000,,36857165014.00,
2024-10-17,67399.84000000,,32790898511.00,
2024-10-16,67612.72000000,,38195189534.00,
2024-10-15,67041.11000000,,48863870879.00,
2024-10-14,66046.13000000,,43706958056.00,
2024-10-13,62851.38000000,,18177529690.00,
2024-10-12,63193.02000000,,16744110886.00,
2024-10-11,62445.09000000,,30327141594.00,
2024-10-10,60274.50000000,,30452813570.00,
2024-10-09,60582.10000000,,27670982363.00,
2024-10-08,62131.97000000,,28134475157.00,
2024-10-07,62236.66000000,,34253562610.00,
2024-10-06,62818.95000000,,14776233667.00,
2024-10-05,62089.95000000,,13305410749.00,
2024-10-04,62067.48000000,,29585472513.00,
2024-10-03,60759.40000000,,36106447279.00,
2024-10-02,60632.79000000,,40762722398.00,
2024-10-01,60837.01000000,,50220923500.00,
2024-09-30,63329.50000000,,37112957475.00,
2024-09-29,65635.30000000,,14788214575.00,
2024-09-28,65887.65000000,,15243637984.00,
2024-09-27,65790.66000000,,32058813449.00,
2024-09-26,65181.02000000,,36873129847.00,
2024-09-25,63143.14000000,,25078377700.00,
2024-09-24,64301.97000000,,29938335243.00,
2024-09-23,63329.80000000,,31400285425.00,
2024-09-22,63648.71000000,,20183348802.00,
2024-09-21,63394.84000000,,14408616220.00,
2024-09-20,63192.98000000,,35177164222.00,
2024-09-19,62940.46000000,,42710252573.00,
2024-09-18,61649.68000000,,40990702891.00,
2024-09-17,60308.54000000,,38075570118.00,
2024-09-16,58192.51000000,,32032822113.00,
2024-09-15,59182.84000000,,18120960867.00,
2024-09-14,60005.12000000,,16428405496.00,
